admin,admin_duration,info,info_duration,prod_related,prod_related_duration,bounce_rate,exit_rate,page_value,special_day,month,os,browser,region,traffic_type,visitor_type,weekend,revenue
0,0 days 00:00:00,0,0 days 00:00:00,1,0 days 00:00:00,0.2,0.2,0.0,0.0,Feb,1,1,1,1,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,2,0 days 00:01:04,0.0,0.1,0.0,0.0,Feb,2,2,1,2,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,1,0 days 00:00:00,0.2,0.2,0.0,0.0,Feb,4,1,9,3,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,2,0 days 00:00:02.666666667,0.05,0.14,0.0,0.0,Feb,3,2,2,4,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,10,0 days 00:10:27.500000,0.02,0.05,0.0,0.0,Feb,3,3,1,4,Returning_Visitor,True,False
0,0 days 00:00:00,0,0 days 00:00:00,19,0 days 00:02:34.216666700,0.015789474,0.024561404,0.0,0.0,Feb,2,2,1,3,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,1,0 days 00:00:00,0.2,0.2,0.0,0.4,Feb,2,4,3,3,Returning_Visitor,False,False
1,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0.2,0.2,0.0,0.0,Feb,1,2,1,5,Returning_Visitor,True,False
0,0 days 00:00:00,0,0 days 00:00:00,2,0 days 00:00:37,0.0,0.1,0.0,0.8,Feb,2,2,2,3,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,3,0 days 00:12:18,0.0,0.022222222,0.0,0.4,Feb,2,4,1,2,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,3,0 days 00:06:35,0.0,0.066666667,0.0,0.0,Feb,1,1,3,3,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,16,0 days 00:06:47.750000,0.01875,0.025833333,0.0,0.4,Feb,1,1,4,3,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,7,0 days 00:04:40.500000,0.0,0.028571429,0.0,0.0,Feb,1,1,1,3,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,6,0 days 00:01:38,0.0,0.066666667,0.0,0.0,Feb,2,5,1,3,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,2,0 days 00:01:08,0.0,0.1,0.0,0.0,Feb,3,2,3,3,Returning_Visitor,False,False
2,0 days 00:00:53,0,0 days 00:00:00,23,0 days 00:27:48.285119,0.008333333,0.016312636,0.0,0.0,Feb,1,1,9,3,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,1,0 days 00:00:00,0.2,0.2,0.0,0.0,Feb,1,1,4,3,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,13,0 days 00:05:34.966666700,0.0,0.007692308,0.0,0.0,Feb,1,1,1,4,Returning_Visitor,True,False
0,0 days 00:00:00,0,0 days 00:00:00,2,0 days 00:00:32,0.0,0.1,0.0,0.0,Feb,2,2,1,3,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,20,0 days 00:49:41.166667,0.0,0.01,0.0,0.0,Feb,2,4,4,4,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,8,0 days 00:02:16.166666700,0.0,0.008333333,0.0,1.0,Feb,2,2,5,1,Returning_Visitor,True,False
0,0 days 00:00:00,0,0 days 00:00:00,2,0 days 00:00:00,0.2,0.2,0.0,0.0,Feb,3,3,1,3,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,3,0 days 00:01:45,0.0,0.033333333,0.0,0.0,Feb,3,2,1,5,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,2,0 days 00:00:15,0.0,0.1,0.0,0.8,Feb,2,4,1,3,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,1,0 days 00:00:00,0.2,0.2,0.0,0.0,Feb,2,2,4,1,Returning_Visitor,True,False
0,0 days 00:00:00,0,0 days 00:00:00,5,0 days 00:02:36,0.0,0.04,0.0,0.0,Feb,1,1,9,3,Returning_Visitor,False,False
4,0 days 00:01:04.600000,0,0 days 00:00:00,32,0 days 00:18:55.444444,0.002857143,0.00952381,0.0,0.0,Feb,2,2,1,3,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,4,0 days 00:01:16,0.05,0.1,0.0,0.0,Feb,1,1,1,3,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,4,0 days 00:01:03,0.0,0.05,0.0,0.2,Feb,2,6,1,3,Returning_Visitor,False,False
1,0 days 00:00:06,1,0 days 00:00:00,45,0 days 00:26:22.750000,0.043478261,0.050821256,54.17976426,0.4,Feb,3,2,1,1,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,2,0 days 00:00:35,0.0,0.1,0.0,0.0,Feb,1,1,6,3,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,3,0 days 00:01:18,0.0,0.066666667,0.0,0.0,Feb,1,2,6,6,Returning_Visitor,True,False
0,0 days 00:00:00,0,0 days 00:00:00,8,0 days 00:03:29.500000,0.0,0.025,0.0,0.0,Feb,2,2,1,1,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,10,0 days 00:03:03.666666700,0.04,0.08,0.0,0.0,Feb,1,1,3,1,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,14,0 days 00:06:20.500000,0.014285714,0.028571429,0.0,0.0,Feb,2,2,1,1,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,52,0 days 00:34:46.242857,0.015384615,0.020352564,0.0,0.0,Feb,2,2,7,1,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,8,0 days 00:06:28,0.025,0.05625,0.0,0.0,Feb,3,2,1,4,Returning_Visitor,True,False
2,0 days 00:00:18,0,0 days 00:00:00,5,0 days 00:04:58,0.0,0.028571429,0.0,0.8,Feb,2,2,8,4,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,7,0 days 00:01:03,0.028571429,0.071428571,0.0,0.6,Feb,2,2,1,3,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,9,0 days 00:08:02,0.0,0.022222222,0.0,0.0,Feb,2,5,1,6,Returning_Visitor,False,False
1,0 days 00:00:09,0,0 days 00:00:00,46,0 days 01:08:04.393939,0.0,0.001794872,0.0,0.0,Feb,2,2,8,4,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,3,0 days 00:00:22,0.0,0.066666667,0.0,0.6,Feb,1,1,3,2,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,15,0 days 00:05:10.166666700,0.0,0.006666667,0.0,0.0,Feb,1,1,4,4,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,2,0 days 00:00:34,0.0,0.05,0.0,0.4,Feb,3,2,2,3,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,4,0 days 00:01:28,0.0,0.05,0.0,0.0,Feb,4,1,1,3,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,22,0 days 00:10:22.250000,0.003030303,0.006060606,0.0,0.2,Feb,2,5,1,4,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,14,0 days 00:03:42.400000,0.017142857,0.057142857,0.0,0.0,Feb,1,1,1,2,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,3,0 days 00:01:20,0.066666667,0.133333333,0.0,0.2,Feb,3,2,1,3,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,11,0 days 00:13:20.833333300,0.0,0.003636364,0.0,0.0,Feb,3,2,1,3,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,1,0 days 00:00:00,0.2,0.2,0.0,0.6,Feb,2,2,3,2,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,1,0 days 00:00:00,0.2,0.2,0.0,0.0,Feb,1,1,3,4,Returning_Visitor,True,False
0,0 days 00:00:00,0,0 days 00:00:00,12,0 days 00:04:25.166666700,0.011111111,0.026111111,0.0,0.2,Feb,3,2,1,3,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,2,0 days 00:00:29,0.0,0.1,0.0,1.0,Feb,2,4,4,2,Returning_Visitor,True,False
0,0 days 00:00:00,0,0 days 00:00:00,4,0 days 00:02:40,0.0,0.075,0.0,0.0,Feb,4,2,2,3,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,4,0 days 00:02:15.666666700,0.05,0.025,0.0,0.4,Feb,3,3,1,4,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,1,0 days 00:00:00,0.2,0.2,0.0,0.2,Feb,2,4,1,3,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,1,0 days 00:00:00,0.2,0.2,0.0,0.6,Feb,3,2,3,3,Returning_Visitor,False,False
4,0 days 00:00:56,2,0 days 00:02:00,36,0 days 00:16:38.741666700,0.0,0.014736467,19.44707913,0.2,Feb,2,2,4,1,Returning_Visitor,False,False
0,0 days 00:00:00,0,0 days 00:00:00,4,0 days 00:01:44,0.0,0.05,0.0,0.4,Feb,2,6,6,3,Returning_Visitor,False,False
